text,label,source,collected_at
"Shame really - very rarely do I watch a film and am left feeling disappointed at the end. I've seen quite a few of Ira Levin's adaptations - 'Rosemary's Baby' and 'The Stepford Wives' - and liked both them, but this just didn't appeal to me.<br /><br />When I read the plot outline - an award winning playwright (Michael Caine) decides to murder one of his former pupils (Christopher Reeve) and steel his script for his own success - I was excited. I like thrillers, Michael Caine's a good actor, Sidney Lumet's a good director and Ira Levin's work is generally good.<br /><br />I won't spoil it for anyone who hasn't seen it yet, but all I'd say is there are LOADS of twists and turns. So many its kind of hard to explain the film's plot line in detail, without giving it away. I enjoyed the first ... 45 minutes, before the twists and turns began to occur and at that point my interest and enjoyment began to fade out. Though I have to give Lumet credit for the very amusing ending which did make me laugh out loud.<br /><br />The main cast - Michael Caine, Christopher Reeve, Dyan Cannon and Irene Worth - were all brilliant in their roles. Though Worth's obvious fake Russian accent got on my nerves slightly (nothing personal Irene, I think any actor's fake accent would irritate me). Not sure if Cannon's character was meant to be annoyingly funny but Dyan managed to annoy and amuse - at the same time.<br /><br />Anyone reading this - I don't want you to be put-off watching this because of my views - give it a chance, you may like it, you may not. It's all about opinion.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
"Ugly shot, poorly scripted and amateurishly paced sequel to Joe Dante's 1981 classic. ""The Howling"" is one of the two or three ONLY good werewolf-films ever made and yet it got 'rewarded' by a series of obnoxious and unendurable sequels like this one. If it's any consolation, ""Stirba"" is a sequel in name only and there's absolutely no connection with the characters or events that were introduced in Dante's film. The plot here revolves on a bloodthirsty cult of Transsylvanian werewolves  primarily female ones  led by Stirba. Stirba is played by Sybil Danning who transforms from a curvy old lady into a blond super-babe (with impressive bosom) in the blink of an eye and becomes all hairy when sexually aroused. Her arch-enemy is played by a seemly fatigue Christopher Lee. His character  Stefan Crosscoe  is an occult investigator who travels to Stirba's kingdom, accompanied by an American couple who lost their friend to the werewolf cult. In case you're exclusively looking for filthy gore and gratuitous nudity...this is your film. Even the smallest killing is shown in great detail and we're even treated to exploding eyeballs and the vile image of a dwarf who gets pierced on a pointy fence. However, if you want a little substance or depth, you'll be sorely disappointed. The dialogues are embarrassing and there's absolutely no tension to detect anywhere. The scriptwriters constantly seem to confuse werewolves with vampires (the Transsylvanian setting, garlic, wooden stakes...) and Danning's gorgeous balcony is shamelessly exploited as the film's only gimmick. During the end-credits, a shot in which she rips off her top, is re-edited repeatedly (according to my fellow reviewer Dr. Gore, no less than seventeen times!) which is pretty pathetic and pointless. The music is okay and some of the scenery is rather beautiful. I'm talking about the fierce-looking statues during the opening credits and the dark dungeons of Stirba's castle. The directing by Philippe Mora is a giant mess and  as far as I'm concerned  his only worthwhile film remains ""The Beast Within"", released three years earlier.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
Tipping the Velvet,negative,books_toscrape,2026-03-26T22:36:41.927378
Babbitt,negative,openlibrary_api,2026-03-26T22:38:28.794132
"This flick reminded me of those lame ""erotic thrillers"" I used to stay up late and watch on Cinemax when I was 13. I'd label this flick softer-core since there is just no simulated bump and grinder. There is, however, a ton of nudity- the opening scene is in a strip club, we see Kane Hodder's keester (or at least a stunt butt) and then an inexplicable 10 minute lesbian dance scene in the middle of the film and a nude female werewolf who looks like they mugged on of the Munster's for a costume. 13 year old boys rejoice.<br /><br />Other than that the werewolf transformation scenes have the worst CGI I've seen in years. The shots look like FMV's from the video game Resident Evil in terms of quality. The wolf is too bad to be explained and, despite the poor quality of the suit is shown way, way too many times.<br /><br />The plot and acting make no sense. There is some oddball back story about werewolves and hybrid-werewolves- the Darkwolf is the latter but from what I can tell hybrids do the same thing all werewolves do- look human, change to a wolf an kill people. The Darkwolf is trying to find a mate but oddly can't find the mate but can sniff out anyone she touches. Once more, this skills proves less than useful since the Darkwolf winds up killing several folks his target never touched, met or even saw as best I can tell. The mate doesn't know she's a werewolf and she's fighting the transformation or something.<br /><br />You'd think it'd be hard to mess up a simple monster movie s bad as this but, well they did. Want quality low-end werewolf-ism, go rent Dog soldiers want a ton of T&A this is your flick.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
"The movie is plain bad. Simply awful. The string of bad movies from Bollywood has no end! They must be running out of excuses for making such awful movies (or not).<br /><br />The problem seems to be with mainly the directors. This movie has 2 good actors who have proved in the past that the have the ability to deliver great performance...but they were directed so poorly. The poor script did not help either.<br /><br />This movie has plenty of ridiculous moments and very bad editing in the first half. For instance :<br /><br />After his 1st big concert, Ajay Devgan, meets up with Om Puri (from whom he ran away some 30 years ago and talked to again) and all Om Puri finds to say is to beware of his friendship with Salman!!! What a load of crap. Seriously. Not to mention the baaad soundtrack. Whatever happened to Shankar Ehsaan Loy?<br /><br />Ajay Devgun is total miscast for portraying a rockstar.<br /><br />Only saving grace are the good performances in the second half. Ajay shines as his character shows his dark side. So does Salman as the drug addict. <br /><br />Watch it maybe only for the last half hour.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
"I was hoping for some sort of in-depth background information on the Apollo 11 mission and what I got was some decent interview material with Buzz Aldrin Gene Krantz and other people involved in the mission, linked by over-hyped disaster-predicting sensationalising voice-over in the worst tradition of TV production.<br /><br />If you could cut out the voice-over and change the spin of the program to a positive testament of how people can overcome setbacks to achieve a goal out of the ordinary then this could've been great - but I feel I've wasted about 45 minutes of my life whilst watching a 60 minute programme. I want those minutes back.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
"Flame in, flame out. That seems to be Gammera in a nutshell, a prehistoric creature who can take it and dish it out with equal abandon. I'm not a fan of Japanese monster films, but wound up committed to viewing all the flicks on the fifty film DVD sci-fi collection put out by Mill Creek/Treeline Films. It's a great value at about twenty five bucks, so at fifty cents per movie, it really boils down to an investment in time to watch some of the goofy offerings.<br /><br />Gammera is riled from a centuries long slumber by a nuclear blast, and he's not happy. Like Godzilla, he takes it out on Tokyo, setting the United Nations into motion to try and come up with a plan to save the planet. They arrive at 'Plan Z', the hope of the world, and wouldn't you know it, there's a scene where a huge shed is shown that's called the 'Z Plan' building; that was a nice touch.<br /><br />By the mid 1960's, this country still wasn't quite politically correct. One of the American military scenes at the Alaskan Air Defense Sector has General Arnold asking a female sergeant to make coffee. I guess there weren't any privates around.<br /><br />Good old Gammera was quite the sight though, walking around on two legs and going for the flame throwing routine when challenged. That's why it surprised me how Plan Z managed to capture turtle man in the nose cone of a hidden space ship, whisking him off to Mars to save the world. High fives all around for the American and Russian team that made the save, now let's get back to the Cold War.<br /><br />Like Godzilla, Gammera spawned at least a good dozen films, but having seen this one pretty much satisfies my interest in flying, flaming turtles. Especially since that DVD pack I mentioned earlier has ""Attack of the Monsters"" with a featured guest appearance by the Big G. It took all I had to make it through to the end of both films; it was such a relief to get to the final frame in this one that said 'Gammera, Sayonara!""",negative,imdb_huggingface,2026-03-26T22:36:41.908710
Fifty Shades Darker (Fifty Shades #2),negative,books_toscrape,2026-03-26T22:36:41.927378
"I tried to like this program; I really did. I even bought the pilot film, first on VHS and later on DVD. However, I couldn't get into this story because its two main characters: ""David"" (Bruce Willis) and ""Maddie"" (Cybill Shepherd) just seemed to in love with themselves, for one thing. I admit was some clever dialog in the shows, which was a key part of the success of the TV program, and I did appreciate of lot of that dialog. <br /><br />Basically, this was almost like the old screwball comedy movies of the '30s and '40s with male versus female. You get lots of arguing, accusations, yelling and screaming. A lot of people apparently love that sort of bickering, but I hate it, so I never got on the Moonlighting bandwagon. <br /><br />Only Allyce Beasley as the hapless aide ""Agnes,"" was entertaining. It's too bad she had such little air time. Shepherd was nice on the eyes and I suppose women would say the same for Willis, but too much arguing between the two finally turned me off.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
