text,label,source,collected_at
"All the pretty people in this film. Even the Rudy character played by Michael Madsen. This is adapted from a Jim Thompson novel for cryin' out loud! These are supposed to be marginal characters, not fashion models. Though McQueen and McGraw were attractive (but check out McQueen's crummy prison haircut) they were believable in the role. Baldwin and Bassinger seem like movie stars trying to act like hard cases. Action wise, the robbery scene in the Pekinpah version was about 100 times more exciting and suspenseful than anything in this re-make.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"I know that Tom Robbins has a loyal following and I started the book with high expectations. However, I did not enjoy this book as it was too much work to follow his confused logic. I think that he was under the influence during most of time that he wrote.",negative,amazon_reviews,2026-03-27T03:28:37.846206
This type of spaetzle maker is easier to manuveur than the old press kind and much easier on the hands. The difference is that this new spaetzle maker makes smaller noodles than the old. It is great for us elderly that don't have much strength left.,positive,amazon_reviews,2026-03-27T03:28:37.846206
"My cats seemed to be amused to work for their food. One cat would roll the ball with her paws and nose, and the other would walk behind her and eat up whatever fell out -- teamwork! I knew they'd dig this ball because I had already made something similar out of a plastic water bottle before that they liked a lot.A few weeks after getting this, though, the ball was never to be found again. I think it may have rolled down into the dark basement at some point and became one with the clutter.+1 for the adjustable hole sizes. -1 for the mess that happens when trying to put the food in by hand (although this could be solved with a funnel).",positive,amazon_reviews,2026-03-27T03:28:37.846206
"I've had no problems running this with my Dell 8200 PC running Windows XP Home Edition which is running an addon USB 2 card, to which this hub (I have the 8 port version) is connected. When I bought it a year ago, I thought that 8 ports would be overkill and that 4 would be adequate, but I bought this unit anyway. Boy was I glad, right now 6 of the 8 are in use.",positive,amazon_reviews,2026-03-27T03:28:37.846206
"If you're considering purchasing this movie, I have to figure you're either a huge fan of Sarah Michelle Gellar, or you've seen the movie in the past and really liked it. Either that, or you're like me and you bought it as a gift for someone else, lol (although I did see this in the theater years ago and liked it). So there's not much use in reviewing the movie itself.As for the DVD release...you're not going to get anything in the way of extras (correct me if I'm wrong, but I think there's only a trailer)...but you do get the movie in both widescreen as well as pan and scan. It's of good quality, and it came at a good price (at least it did when I purchased it, lol).",positive,amazon_reviews,2026-03-27T03:28:37.846206
"Good picture on blu-ray, but I don't know if it would be much different on DVD since the lighting in the movie is pretty dark.",positive,amazon_reviews,2026-03-27T03:28:37.846206
"I've always been a John Mellencamp fan (all the way back to Jack and Diane). It's been a while since I've bought one of his albums, but I bought this one on a whim. I should have read some reviews first. I'm very disappointed. Cuttin' Heads and Peaceful World are ok songs, but there isn't a standout in the bunch. Too many of them are too mellow. Pass on this album if you like the older stuff.",negative,amazon_reviews,2026-03-27T03:28:37.846206
I need t's like this to get through my days at the barn with the horses! They're great and thanks for the quick shipping.,positive,amazon_reviews,2026-03-27T03:28:37.846206
"In 1880s Australia, a lawman makes a deal with a bandit to bring his murderous brother to justice. Simple story about the brutality of frontier life has direction, cinematography and characters reminiscent of the best 60s spaghetti westerns such as ""Once Upon a Time in the West"" (1969). Viewers may also enjoy the similar-styled ""The Three Burials of Melquiades Estrada"" (2005) and ""No Country for Old Men"" (2007).",positive,amazon_reviews,2026-03-27T03:28:37.846206
"OK, if you aren't a die-hard Family Guy fan, if you don't like the jokes that go on for a little TOO long or the jokes that normally start with ""like that one time when Peter..."" this isn't for you...That aside, if you like all the side gags on family guy where they trail off to something that is completely off subject, this IS for you. To me, this disc is filled with the things Seth couldn't find space for in a Family Guy episode or that the FCC would have a stroke over if they did. I absolutely love Family Guy and the fact that they don't care too much about being politically correct...it's refreshing and this disc stays true to that. It's raunchy, just wrong sometimes, and pretty hilarious all at the same time.I didn't give it 5 stars because it's a little pricey for only an hour's worth of fun. Enjoy!",positive,amazon_reviews,2026-03-27T03:28:37.846206
"I'd give it a 0 if I could.I bought this toy last night after a customer in the store gave it great reviews. This toy is totally ridiculous. My 10 month old loves elmo. He has all of the other elmo dolls (hokey pokey, ymca, chicken dance, tickle me, rock n' roll, even the build a bear elmo) and a hand puppet and loves these. He looked at the tmx like it was having a seizure. He actually crawled away from it and didn't give it a second look. My six year old played with it for maybe a minute and then said ""Does it do anything else?"" Unfortunately, it doesn't. Maybe if it would talk or sing a song it would be better. But you can hardly understand what he is saying and it just isn't entertaining.Buy something better with your $40.00",negative,amazon_reviews,2026-03-27T03:28:37.846206
"I've had mine for just over 6 months, and it crapped out. My Heier lasted 6 years, and I wish I would have spent the extra money to buy one.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"I'm pleased I bought this book. It provides a sensible and fairly exhaustive overview of the rise of the Nazis. But I'm also disappointed. The book contains nothing unique or original. In terms of fact and interpretation it is safe and conforming, and devoid of originality.Perhaps my standards are unrealistic, or maybe my expectation of a book by Professor Evans, a distinguished academic at Cambridge University, was too high. Either way I don't rate this book as a lofty contribution. It lacks the penetrating analytical touch of Michael Burleigh's similar but better work, and as the first work of a trilogy does not inspire me to think about buying the next two volumes.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"This is a wonderfully comfortable and good looking pump especially if you're looking for a slightly wider toe box. It looks great with a skirt or slacks. My only complaint is that after finally accepting that a wide width is the most comfortable, and kindest to my feet, I can't find my size (6.5 W) in navy. I have the shoe in black. If anyone from Naturalizer is reading this message; how about making more sizes and colors in wide widths available?",positive,amazon_reviews,2026-03-27T03:28:37.846206
this band is one long joke.aside from three songs this is spinal taps warm up band.i can't believe all the love they get.,negative,amazon_reviews,2026-03-27T03:28:37.846206
"I was given the FL100 as a gift and soon realized the product is flawed. If the player is connected to the PC and the battery dies, it will corrupt the internal memory and the player will not restart after replacing the battery. The player BIOS will initiate, however, once the internal memory check is complete the message ""Battery Low !!!"" will appear and it shuts down. The internal memory can be re-formatted but the player must be on to do so. I contacted Digitalway regarding this and they said, ""If the player purchase date is less than 30 days old and you have the receipt, you may return it to the place of purchase. If the player purchase date is more than 30 days and less than 120 days old and you have the receipt, you may return it to Digitalway."" The key here is receipt. I also believe they are not really backing this product. I would recommend looking at comparable players and especially the warranty.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"I did not think that this book added a great deal of real information that wasn't just common sense. Also, parts of it reminded me of a religious sermon. This seemed to be out of place and totally unexpected. The book was not what I expected. This book is great for the religious right, not the general public.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"Alas, despite the enticing title and initially engaging, gossipy style, this book bogs down in repetitive trivial details while failing to explore fasciniting topics to which it alludes (such as the international drug trade in the early 20th century and its links to Shanghai and to international arms trading after WWI). Little effort is made to identify individuals as they reappear in subsequent chapters or to present a coherent historical narrative. This is one of the very few books I have ever simply chosen to put down rather than finish.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"The book called The Outsiders was written by a 16 year old girl named S.E. Hinton. It takes place in Oklahoma. The main Greasers are Ponyboy, Dally, Sodapop,Darry, Johnnyboy,and the least ones are Two-bit and Steve. Ponyboy,Darry,and Sodapop are all brothers. They lost there parents in a car accident.Ponyboy,the youngest, and Johnnyboy , who is 16,get in some trouble with the Socs. The Socs are Cherry, Bob, Randy and Marcia. In the book one of the guys dies... but you have the read the book on your own.The lesson in the book, I thought, was that everyone has a rough life. All age groups do and also their classes. This book would be good for ages 11-16. I think this because thats when it starts to get hard for the kids.I like the book over all. The book was kinda slow at first. I liked the book beacause what you learn from it. It has a lot of emotion. I would recomend this book to anyone.",positive,amazon_reviews,2026-03-27T03:28:37.846206
"This CD has a great pulsating driving rhythm. The different musical sensations can bring the emotional force to its explosive peek, it isnt your regular ""bump and grind."" Put this one in your CD player and get into the Global Groove. Loved it. THIS ONE IS A MUST ! ! ! ! Take the mask off and let the rhythm move you.........",positive,amazon_reviews,2026-03-27T03:28:37.846206
"All of the Shopaholic books are great but this one was not as good as the others. Don't get me wrong it is still worth reading and leaves the impression that there is more to come but it simply does not compare to the first three books.Becky is even more out of control than ever in this installment of the series, when she meets her long lost half sister, who happens to HATE shopping. Becky with her overwhelming desire to be the best sister ever (because she was always an only child) tries so hard to get her new sister (who happens to be everything Becky is not) to be her best friend. The usual hilarity that comes with Becky insues and Kinsella once again provides her reader with great fun and laughs.Ending gives the impression that there is more of Becky's life to come... can't wait for another book in this great series.",positive,amazon_reviews,2026-03-27T03:28:37.846206
For some reason when it was released in the US this year they decided to edit out most of the comedic scenes and most anything not directly involving Jackie Chan from the earlier release. They also almost totally replaced the soundtrack with music that for the most part didn't match the scene. I like Jackie Chan films but this release was very disapointing. The only up side was that the voices were re-dubbed by I think by the original actors. The action is still good but the older versions of the film are better.,negative,amazon_reviews,2026-03-27T03:28:37.846206
"This book has a lot of general information about Tanganyikan cichlids and the way to keep them in a home aquarium. The pictures in the book have a special glossy cover, which makes them look very good. It's an excellent 'first book', but someone interested in information about specific cichlid should search for them in another book.",positive,amazon_reviews,2026-03-27T03:28:37.846206
The unit works well and has a nice long cord and was a good value. The ear pads are a bit small.,positive,amazon_reviews,2026-03-27T03:28:37.846206
"This DVD Player looked good online and the reviews at the time were not that bad so I purchased it; however, I can tell you that this is the worst item I have purchased online! This system does not allow you to fast forward/rewind; it only lets you jump from scene to scene. It was manufactured very cheaply; its remote control is a joke. I am so disappointed!",negative,amazon_reviews,2026-03-27T03:28:37.846206
"I posted the book's table of contents - see ""Customer images"" link above - and would like to point out Chapter 4, which discusses ""relational data mining"", also recommending the closely related Chapters 3 and 7. (But not Chapter 2; the authors' mastery of time-series methods - if these do belong to data mining - is not obvious).I am skeptical about applicability of the proposed method, and would consult other books on neural nets or fuzzy logic - or Bayesian belief networks, for example, forgotten here - but others may disagree.Jeers to Kluwer for charging over $100 for a book that really should cost $50-60, yet not hiring a proof-reader. (""Daiwa Secretes""!)",positive,amazon_reviews,2026-03-27T03:28:37.846206
I had sampled this at a store once and absolutely loved it. But the bottle I have smells acidic and chemically and the sent hardly last. Wish I had returned it. :(Too bad I normally love their stuff. The seller was prompt and cool and all that.,negative,amazon_reviews,2026-03-27T03:28:37.846206
"I first read this book at age 10 and could hardly sleep for 3 days. I have re-read it many times since, and I am glad to report that it is still as frightening to the adult as it was for the child. This book teems with terrifying images and situations which I won't describe so as not to spoil the suspense. This was what scared me as a child. What scares the adult on top of this is the emotional collapse of Jack Torrance and his descent into madness. The relationships in the family triad are brilliantly depicted. This is a novel about the horrors of alcoholism, insanity, and child abuse, which are of course only compounded by the supernatural evil these characters become enmeshed in. This is my favorite King novel and I would really like to know what happened to Danny Torrance when he reached adulthood!",positive,amazon_reviews,2026-03-27T03:28:37.846206
"A must see, great story and great ending, watch this movie!!!! Perfect for a slow Sunday afternoon or a could day when you are snowed in.",positive,amazon_reviews,2026-03-27T03:28:37.846206
This book was very heart touching and blew every thing I thought I knew about the Holocaust out the water. Great read for mature audience.,positive,amazon_reviews,2026-03-27T03:28:37.846206
"If you are a real house style raver, I suggest you consider buying another CD. I was recommended this CD, and I was disappointed when I heard it....The beats are not innovative at all, and rappers with the same style as Doc Ock, are a dime a dozen. Heed my warning and stay away from this cd at all costs.....",negative,amazon_reviews,2026-03-27T03:28:37.846206
The battery I received is not from APC as the picture and the description suggested and I was not able to return it.,negative,amazon_reviews,2026-03-27T03:28:37.846206
"This album is pretty good. Its very energetic and the mix is good. Some excellent effects on ""if there's hell below"" This is the only Curtis live album I have and I like it alot. Some of the Keyboards sound a little lame, but dont let that stop you from enjoying this album. Excellent rythym section",positive,amazon_reviews,2026-03-27T03:28:37.846206
"I looked at all the planers. I was going to buy a planer with AMPS being my first concern. With a 3.4 amp motor this planer did not fail once. I put this machine to work on rough cut white oak with the blades full bore, and I got tired before this Hitachi planer. My only wish is the shoe as in all planers in this class was 1 inch longer. With a longer shoe or base this would get 5 stars. At this price you cannot go wrong. Blades are a snap to change, and sharpen. This is a nice machine.",positive,amazon_reviews,2026-03-27T03:28:37.846206
Gave this as a gift and she absolutely loved it. Said it was the best choc drink she ever had. Great gift item.,positive,amazon_reviews,2026-03-27T03:28:37.846206
"I very much liked the book. Rex Black has written about the process and management side of testing. This makes it an ideal complement to Cem Kaner's ""Testing Computer Software"" (which deals with testing technique) and Boris Beizer's ""Software Testing Techniques"" (which deals with the fundamentals).I found the templates useful, mostly because I never worked my way around Excel to get those metrics in an automated manner. But don't expect them to be replacement for commercial test management tools.This should be a required reading for anyone who plans or manages testing.",positive,amazon_reviews,2026-03-27T03:28:37.846206
"This is by far my fav book. It's very Sex in the City set in the 50's. It's very stylized and true to it's era. Plus if you like reading about show business, than this book will be fascinating. It's a easy fluff read, so don't expect it to be A Tale of Two Cities or anything like that!!! It's fun, just look at the cover...It's pink!",positive,amazon_reviews,2026-03-27T03:28:37.846206
"I wanted to post this review, because I must have misunderstood the purpose of these CLEP books. As was indiciated to me today by the testing center, these books are designed to refresh the memories of people who have a good knowledge base of the subject. For individuals such as myself, who haven't taken American History since the early 90's, it didn't prepare me like I expected it to.I studied this book for three months, I had a 95% on each of the practice exams, and I barely passed this CLEP. Passing is passing, I agree, but just keep in mind that this book is a framework. There were so many questions on my exam on topics my clep book didn't touch on. Good thing I like the History channel.Anyway, good refresher, but maybe it's wise to supplement with a cheap high school/college text to be safe.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"I don't want to be harsh. I'm fairly certain that many people put a lot of effort into this book. I just didn't think that it was really a worth the effort though.Essentially the only chapter I found useful was chapter 5. Of course, one chapter doesn't make the book worthwhile though.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"I enjoyed this group's previous CD very much, but ""Hoping It Might Be So"" is even better -- the selection of pieces is unusual and the performances are exquisite. ""The Oxen"" is my favorite at the moment, although I also love ""Quem Pastores"" by James Bassi (Why haven't I heard of this composer before? Where have I been?). The choir has a gorgeous sound, and the harp accompaniments are simply lovely. I listen to Christmas music year-round, and I think this CD is going to get a lot of play! I highly recommend ""Hoping It Might Be So"" to anyone who loves fine choral music.",positive,amazon_reviews,2026-03-27T03:28:37.846206
"The disk arrived in a plastic box used for CD's-- not a regular package. The installation directons, printed on the disk itself, state that auto-run will begin when the disk is inserted in the disk drive. Nothing happened and I had to use My Computer and the Setup.exe file to start the installation. About halfway thru the process, it stopped and would not restart. Our son (a computer guy) said the disk is a standard cheap copy type that we can purchase anywhere-- not the usual higher quality that Broderbund would use. Finally we got it installed on the main computer but it would not install on my laptop. I guess it's true-- you get what you pay for. This was cheap enough and that's good. If I have any more problems, I will return it to Amazon.",negative,amazon_reviews,2026-03-27T03:28:37.846206
Gruen writes like a woman who is trying to sound like a man. Her word choice and syntax did not ring true and unfortunately the method cost her some in credibility. The book was nothing to write home about and certainly did not rank with anything by Erik Larson. The high ratings from other reviewers are puzzling. The reviews about the movie seem to more accurately reflect the quality of the book.,negative,amazon_reviews,2026-03-27T03:28:37.846206
"Currently I have over 20 hours in to trying to understand and use this program. I have paid my computer support person over $125. To date I have used the program and found that the route was there but not the map, the map and not the route. I can't find any voice for my Windows mobile device. You are never sure if you are on the right road. I'm so frustrated with this program! I really feel that I have tried to give it a fair chance.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"For fans of dub as well as jungle and drum & bass, dubstep is a terrific combination of these genres. And for those new to this type of music, The Roots of Dubstep provides a most fitting introduction as it features cuts by many of the better known musicians making dubstep. Personally, I find this kind of music perfect not only for dancing but also for working behind my computer as it is completely energy inducing, without being unduly distracting. So whether you have to write a paper, paint your house or just want to get down and dance, the Roots of Dubstep will give you the necessary step up.",positive,amazon_reviews,2026-03-27T03:28:37.846206
"This bag is nearly perfect. The straps easily tuck away, which is great when using the pack as carryon luggage for a flight or on a train. The front zips open all the way, so you can access the stuff at the bottom of the pack as easily as the stuff on top. The bag isn't huge, which is its greatest strength and weakness. I just spent two months backpacking in India and the bag still looks new.",positive,amazon_reviews,2026-03-27T03:28:37.846206
This book was so encouraging. The self test to identify my levels made this read a keeper. I experimented with one amino acid for evening carb cravings and just like promised... there were immediate results. I haven't eaten at night out of hunger or comfort for 6 weeks. The biology is simple and the comparison of refined grains lending to addiction with not only food but alcohol was a game changer for me. I have a plan for a year's investment in a quality multivitamin and a list of supplements that make sense and are easily obtainable. I believe I will finally be successful in my journey to become healthy.,positive,amazon_reviews,2026-03-27T03:28:37.846206
"Sorry to say, this movie was a disappointment. Harrison Ford was not at his best, I expected better. He did not make a convincing cowboy. The Indians seemed to be rather lame in the movie. The characters were not well developed at the beginning of the story. A boring movie, the plot was not well done. The only decent part of the movie were the special effects, especially when some of the actors did their own stunts.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"Please be carefull, this is not a lie, lot's of people are having problems whit this memory.""Memory Stick Error"" (C:13:01) on my Sony DSC-W5) rises 1 month after I bought this camera, then suddenly It works again, but I'm expecting to have this problem again. My advice: do not buy it, at least until a new corrected version become available.",negative,amazon_reviews,2026-03-27T03:28:37.846206
Although there is metal in it; it is extremely flimsy and does not hold discs securely. A total waste of money!,negative,amazon_reviews,2026-03-27T03:28:37.846206
I have ordered this book for Christmas gifts for at least 15 friends and family members.I'm an avid reader (at least 1-2 books a week) and I usually forget about the books shortly after I've read them. This book is hard to forget. Weeks later I can still recall whole chapters. It has touched my life so much and I want to share it with as many people as possible. I highly recommend this book.One year later - One of the books I gave was to a friend who died unexpectantly. We talked about this book so many times and now I know that she is in her own room of marvels. It has helped me to deal with her loss and to know that I touched her life with this book.,positive,amazon_reviews,2026-03-27T03:28:37.846206
"A great game,even though you need to a lot of patience,but I guess that's what makes it great,couse even though you thought you've been to a place you can't expect the same things when you get back there.This game can really make you jump with fright,especially when you are really concentrating.Those zombies jumping up from nowhere.Wow.Don't play it when your'e alone,you'll scare yourself.Graphics is absolutely great.Blowing those zombies to bits is also really cool.Sounds are very realistic and sometimes really scary.You'll love this game no matter what.It's like starring in a great action movie(well except your'e a girl if your'e actually a guy,but a girl that can really kick butt and stand her ground).All I can say is.Coooooool.",positive,amazon_reviews,2026-03-27T03:28:37.846206
"The movie was a big let down, the voice talent and animation is a lot lower quality then the original movies, and songs were horrible.Plus the new girl Porcha is a spoiled rich girl who is mean to Carrie and Amy through most of both movies. I had bought it for my nieces but they started to mimic the movie by calling people goobers so we do not let them watch it any more.",negative,amazon_reviews,2026-03-27T03:28:37.846206
"This game has got great graphics, even better than the previous bond - Goldeneye. (I loved Goldeneye that was a great game) But.....the very detailed graphics have SLOWED DOWN the game. Compaired to goldeneye this game runs VERY SLOW. The controls are also different. The game play in this new bond compaired to the older one (goldeneye) is just terrible.If you have to choose between the new one and goldeneye buy goldeneye. If your looking for an awsome second bond for the nintendo 64 your going to have to wait. Unless you like graphics over game control don't buy this game!",negative,amazon_reviews,2026-03-27T03:28:37.846206
"This CD is so good words are hard to come by to describe it. Ricky Van Shelton's voice is perfect for Gospel music and the song choice's on this recording are great. I bought this from Amazon with the hope that because Van Shelton was singing it, that it would be good. I was not disappointed. This CD is great.",positive,amazon_reviews,2026-03-27T03:28:37.846206
"I bought this CD because of one song-""What Would You Do"". This is definately the BEST song on the album. The message is sad b/c it talks about a mother who has to work as a prostitute to feed her son, but I absolutely love it. The rest of the album is ok, but What Would You Do is the deepest song on here. As well as ""Sista"". I don't like rap music that much but City High is different.",positive,amazon_reviews,2026-03-27T03:28:37.846206
