text,label,source,collected_at
"What a crime...<br /><br />You forgot to brush your teeth...let's make a 30 minute show about it and have a couple of kids make some noise and then have the dad lecture them all because that's what he has to do.<br /><br />But, don't forget Uncle Joey has to make some weird noises and cooky faces, then Uncle Jesse has to show up with his black leather jacket and some jeans and look pretty for a few minutes while everybody discusses how Mother would have done things if she were around..<br /><br />Yep, full of zany little adventures about a whole bunch of nothing and an entire overlong story to build around it.<br /><br />Full House will not only bore you to tears, but it will make you age twenty times faster than you normally would.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
"This movie blows - let's get that straight right now. There are a few scene gems nestled inside this pile of crap but none can redeem the limp plot. Colin Farrel looks like Brad Pitt in ""12 Monkeys"" and acts in a similar manner. I normally hate Colin because he is a fairy in general but he's OK in this movie. There were two plot lines in this movie-= one about a kid who throws rocks through windshields of moving vehicles and the other about a woman with a moustache. Let's face it- this movie has no freaking idea of what it wanted to say or where it wanted to go. THe characters story lines intertwine on some levels but are in no means worthy of being included in a script. The whole thing is weak and pointless and then there is an occasional OK scene. But overall- Don't bother unless you love irish accents so much that you can watch mediocrity and it is rescued by everyone sounding like the Lucky Charms elf -an American fetish that has catapulted some truly crappy movies to success.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
"Saga, Volume 5 (Saga (Collected Editions) #5)",negative,books_toscrape,2026-03-26T22:36:41.927378
Kim,negative,openlibrary_api,2026-03-26T22:38:28.794132
"An awful film! It must have been up against some real stinkers to be nominated for the Golden Globe. They've taken the story of the first famous female Renaissance painter and mangled it beyond recognition. My complaint is not that they've taken liberties with the facts; if the story were good, that would perfectly fine. But it's simply bizarre -- by all accounts the true story of this artist would have made for a far better film, so why did they come up with this dishwater-dull script? I suppose there weren't enough naked people in the factual version. It's hurriedly capped off in the end with a summary of the artist's life -- we could have saved ourselves a couple of hours if they'd favored the rest of the film with same brevity.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
Barefoot Contessa Back to Basics,negative,books_toscrape,2026-03-26T22:36:41.927378
"Jet Li, is one of the best hand to hand combat fighters in the world. He has been for over 20 years and he puts others in the genre to shame. While he is big in Asia, he is almost unknown here in the US.<br /><br />Black Mask is supposed to be a breakout movie for him, but it fails horribly. First of all, it is dubbed. While it may have camp value (the dubbing isn't even close and it is flat in tone), it seems inappropriate for the ordinary movie viewer. Secondly, the director in this movie, Daniel Lee, does a horrible job. He cuts scenes so fast, at times, you don't know what's going on. Other times, the camera shakes and wobbles. Fans see Jet Li's movies for the fantastic martial arts. However, the director edits the scenes so fast that you don't even know who's who half the time! Other times, a scene is left hanging (ie Li is beginning to cut a hole in the floor of a jeep, while the badguys arm their guns, two seconds later, both Li and the love interest are already under the car!) Other scenes are so improbable, that they cross over the point of being completely ridiculous (killer CD roms? Just give him Throwing Stars!!!!). Li, needs a director who is less prone to machine gun cutting and more to creating a cinematic mise-a-scene. The added rap/techno music goes from being okay to intrusive. The plot has possibilities but are all squandered by cartoonish characters that take away from any credibility that this movie strives for. And are we really to believe that the love interest would not recognize Simon, because he has a half mask on? Wouldn't the hair, lower jaw, or voice give it away?<br /><br />If you want to see a Jet Li movie, try Iron Monkey or his classic Shaolin Temple. This disjointed mess is a complete waste of time.....2/10",negative,imdb_huggingface,2026-03-26T22:36:41.908710
The Immortal Life of Henrietta Lacks,negative,books_toscrape,2026-03-26T22:36:41.927378
"So, where are the cannibals? Those intrigued by the title and the 'real cannibal' appeal of this film will be let down. Instead, we are shown a strange man and his re-visiting of a Papua New Guinea village full of natives, one of whom was his lover several decades prior. The man, Tobias Schneebaum is New York Jewish as they come and somehow, this is intertwined with the documentary as he appears in his yamika in several scenes.<br /><br />There are no real cannibals here: only stories relayed by some of the natives and by Tobias himself. Not all together a bad film. Very interesting and great cinematography. Schneebaum remains highly likable throughout and provides us with a fascinating glimpse into a life that is about as far removed from Western Civilization as one can get.<br /><br />It's just not what it claims to be on the cover and in the plot summary.<br /><br />4 out of 10, kids.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
You can't bury them all: Poems,negative,books_toscrape,2026-03-26T22:36:41.927378
"For anyone who has seen and fallen in love with the stage musical A CHORUS LINE, the movie is a shoddy substitute. Not only are songs cut, but unnecessary plot twists added, new dance sequences choreographed, and, let's face it, Richard Attenborough just doesn't know how to film dancers.<br /><br />Onstage, Michael Bennett's A CHORUS LINE was just that: Michael Bennett. His idea, his choreography, his direction, his gift to Broadway and the rest of the world. It was two hours of hard-hitting, in-your-face realism that really made you feel for these ""boys"" and ""girls."" The movie, however, lacks empathy and depth: the actors look like they are auditioning for A CHORUS LINE rather than actually auditioning. Every move, every line of dialogue seems so weighted and planned; Michael Douglas, especially, as Zach is too in control for us to believe that he is this extraordinarily bitchy choreographer. Even when he throws his temper tantrums, you never quite believe him because every gesture, every accented word, every nuance is so obviously rehearsed. And as for him not dancing: Kevin Kline auditioned for the role of Zach on Broadway. Michael Bennett loved his reading, but Kline couldn't dance and ultimately lost the part. How I wish they had done the same for Douglas! A CHORUS LINE is supposed to be a show about nobodies, and aside from a few recognizable faces (Vicki Frederick, who played Cassie on Broadway, as Sheila and Khandi Alexander, of TV's NewsRadio, as one of the many auditioning dancers) you're not supposed to KNOW any of these people. Because you DO know these people. Having a star in any of the roles is a terrible decision: when you focus on Michael Douglas and his ranting instead of on the girls and boys on the line and their stories, you lose something.<br /><br />It is truly unfortunate that the best sequence in the show (Montage: Hello Twelve, Hello Thirteen, Hello Love) is cut drastically to make way for a terrible new song entitled ""Surprise, Surprise"" that surprisingly received a nomination at the Oscars. Cassie's ""mirror dance"" has a new song and tragically boring choreography -- one wonders why they bothered to shoot a movie version at all if they were going to mess with a working formula this much.<br /><br />For fans of musical theatre and those who enjoyed the stage version, this movie is a sad mockery of everything they cherished and loved. For those who never got to see the original production, either on Broadway or on tour, this movie is the only reference they will have to go by. And they'll have to wonder just how it got to be the longest-running musical in Broadway history -- until a little show called CATS overtook it in the late 1990's. But THAT is a different story, and don't even get me started there.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
"Just looking at the sets, staging and editing it is easy to tell this project lacked a proper budget. Maybe Bela Lugosi is meant to take your mind off of things like that. Young brides drop dead at the altar after saying ""I do"". Their corpses are stolen by a renowned horticulturist Dr. Lorenz(Lugosi)and a couple of his freakish minions as his aging wife(Elizabeth Russell)needs injections of the glandular fluids of the young virgins to remain forever young...forever beautiful. An eager local cub reporter(Luana Walters)realizes that each missing bride wore the same rare orchid to the altar; an orchid in which Dr. Lorenz would be most knowledgeable. A typical horror movie storm brews making a visit to the Lorenz estate a bit spooky; especially with a dwarf and a slobbering hunchback on the premises. Other players: Angelo Rossitto, Tristram Coffin, Minerva Urecal and Frank Moran.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
The Widow,negative,books_toscrape,2026-03-26T22:36:41.927378
"Emma is my favourite Jane Austen novel - Emma is well-meaning despite her flaws, so readers can forgive and love her, and the relationship she has with Mr Knightley, which is warm, familiar, respectful but playful, generating that warm, fuzzy, romantic excitement. Mr Knightley is the perfect man, and Emma is as close as you could get in those times to an independent, clever, confident woman - remember, she is only 21, and was sure to have matured and grown out of her flaws. Who doesn't want to be Emma? Who doesn't want to be told off by Mr Knightley? This version of Emma gives you no sense of the things that I love about Emma. I couldn't even finish watching it, I just found it so awful. I couldn't see that warm, generous side of Emma, which drives the reader to love her: The patience and warmth she shows to her father; the closeness between her and Mrs Weston, which demonstrates her willingness to put her friend's happiness above her own (as she sacrifices the only equal companion in her household by forwarding Miss Taylors marriage). Mr Woodhouse's character in this adaptation just appears bizarre, rather than just quaint, elderly and a bit trying.<br /><br />This adaptation most importantly fails bring to life the relationship between Mr Knightley and Emma. Their relationship is built on mutual respect and affection: Mr Knightley is indulgent of Emma's minor faults trusting that her intelligence and genuine care for others will never allow her to go terribly astray; and Emma looks up to him, though playfully hiding this and continuing to use her own judgement. The dressing down he gives her right at the beginning of the show completely overstates the argument between them, and ruins all possibility of portraying the nature of their relationship as I've described above. Mr Knightley is also insufficiently attractive to bring to life the sexual tension between the leads (or to inspire any admiration from the female viewers).<br /><br />Really horrible. I can't understand why anyone who truly like the novel Emma could like it, unless it miraculously redeems itself after the point I switched it off.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
"I hope the viewer who regards 'Dream Machine' as one of Corey Haim's finest and the ""best movies of the century"" was kidding. Undetected sarcasm on my part? I sincerely hope so.<br /><br />'The Dream Machine' marks the first of a long line of mediocre capers that would plague the rest of Corey Haim's career (except 'Prayer of the Rollerboys' which was surprisingly decent). Here, Haim plays nonchalant college boy, Bernie, who supposes that a cool car will attract his dream girl's attention. Lucky for Bernie, a rich woman aiming to get back at her cheating husband, hastily decides to reward her faithful piano tuner--Bernie--with a gift: a slick Porsche Turbo. However, unbeknownst to the woman, and unfortunate for Bernie, is that her dead husband was murdered and his body was hidden in the trunk. Now, being that in this movie, bodies don't seem to decay or possess a rather foul funk, Bernie is unaware of this. In fact, the oblivious boy has no idea that something suspicious is afoot despite several odd circumstances that arise. In particular, a grizzly man follows him around, desperate to get hold of that body relatively undetected.<br /><br />This is a low-grade action fizzle as many of Haim's films like this are (see The Double O Kid). Despite being part action, part romantic comedy, this movie fails to offer the viewer much of anything of interest for at least the first forty-five minutes in which the filmmakers take more than enough time to show the immediate problem (i.e. Bernie being in possession of a car and a dead body, and a hit-man finding out that the Porsche is going to be hard to find). After which, and thanks to poor acting by Haim (I loved this kid, too, but it's not exactly sacrilegious to admit the times when he obviously couldn't act well) and the lack of real immediacy and emergency between Bernie and the villain that makes much of the events unconvincing and as a result, inappreciable. To add injury to insult, the soundtrack was unbelievably laughable and sounded more like self-evident songs you would hear in Team America (see the 'date' montage).<br /><br />Loyal Corey Haim fans, however, should not be disappointed to see their boy in abundance. However, others understanding that Haim's career probably peaked when he was 14 or 15 and never recovered, might expect mediocrity, as will viewers just looking for early 90s b-comedy fluff to pass the time.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
So You've Been Publicly Shamed,negative,books_toscrape,2026-03-26T22:36:41.927378
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",negative,books_toscrape,2026-03-26T22:36:41.927378
"I love movies, and I'll watch any movie all the way through, just to give it a chance. I can finally say that I found a movie I can't watch all the way through. The acting is terribly stale and monotone, the CGI looks like a computer geek did it in his mother's basement with minimal software, and.....the long scenes of just...walking!!!! And this movie is THREE HOURS LONG!!! I didn't even make it 15 minutes until I fast forwarded the DVD. The scenes with the aliens are very short. Ummm, instead of naming this ""War of the Worlds"", lets name this ""War of the Walking Long Distances"". This cost 5 million dollars to make! What they spend the money on, the dramatic opening song?<br /><br />Oh, but on a positive note, one scene you need to watch is when the aliens first begin killing people. That's hilarious, not because people are dying, but because when they turn to skeletons, they still squirm for 20 seconds afterward.<br /><br />So....like I said, if you are a fan of boring, stale, action-less movies, here is one for you DVD collection. But I didn't write this for you, I wrote this for the billions upon billions of other people who will HATE this movie. It is not worth your time or money<br /><br />I know this is by the book, but the book isn't that long, and I'm a complete book worm/nerd/geek/whatever, but why? Just get the Steven Spielberg version, it's not all that good, but it's 10 times better than this!! <br /><br />I give this a BIG, FAT ZERO out of 10.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
"I watched this movie when Joe Bob Briggs hosted Monstervision on TNT. Even he couldn't make this movie enjoyable. The only reason I watched it until the end is because I teach video production and I wanted to make sure my students never made anything this bad ... but it took all my intestinal fortitude to sit through it though. It's like watching your great grandmother flirting with a 15 year old boy ... excruciatingly painful.<br /><br />If you took the actual film, dipped it in paint thinner, then watched it, it would be more entertaining. Seriously.<br /><br />If you see this movie in the bargin bin at S-Mart, back away from it as if it were a rattlesnake.",negative,imdb_huggingface,2026-03-26T22:36:41.908710
