text,label,source,collected_at,predicted_label,confidence
Chasing Heaven: What Dying Taught Me About Living,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9918
My Kind of Crazy,negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9375
The Bear and the Piano,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9903
"Pop Gun War, Volume 1: Gift",negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9989
Shakespeare's Sonnets,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9447
The Third Wave: An Entrepreneurâs Vision of the Future,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9976
Until Friday Night (The Field Party #1),negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9808
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9995
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9997
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9031
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.999
Join,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9986
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9998
Ayumi's Violin,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9981
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9988
The Long Haul (Diary of a Wimpy Kid #9),negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9005
In the Country We Love: My Family Divided,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.974
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.992
Tuesday Nights in 1980,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9581
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9984
The Song of Achilles,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9853
Secrets and Lace (Fatal Hearts #1),negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9781
That Darkness (Gardiner and Renner #1),negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9487
Raspberry Pi Electronics Projects for the Evil Genius,positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.8788
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9985
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9991
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9966
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.8165
The Dirty Little Secrets of Getting Your Dream Job,positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.8931
Becoming Wise: An Inquiry into the Mystery and Art of Living,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9998
One with You (Crossfire #5),positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9979
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9957
Agnostic: A Spirited Manifesto,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9983
Rook,positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.8879
salt.,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9995
Fifty Shades Darker (Fifty Shades #2),negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.991
The Black Maria,negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9473
My Kitchen Year: 136 Recipes That Saved My Life,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9998
A Man Called Ove,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9704
The Past Never Ends,positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.8675
Sapiens: A Brief History of Humankind,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9968
Clockwork Angel (The Infernal Devices #1),negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.8366
The Time Keeper,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9966
Old School (Diary of a Wimpy Kid #10),positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9902
You (You #1),positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9996
Soul Reader,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9994
Algorithms to Live By: The Computer Science of Human Decisions,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.987
The Silent Sister (Riley MacPherson #1),positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9925
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9998
In Her Wake,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9855
V for Vendetta (V for Vendetta Complete),positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9338
Brain on Fire: My Month of Madness,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9912
Reskilling America: Learning to Labor in the Twenty-First Century,negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9153
The Elephant Tree,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9529
The Regional Office Is Under Attack!,positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9993
The Bane Chronicles (The Bane Chronicles #1-11),positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.7592
Modern Romance,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9995
Eleanor & Park,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9994
Crazy Love: Overwhelmed by a Relentless God,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9987
The Art of War,positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.8733
The Improbability of Love,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9891
Lowriders to the Center of the Earth (Lowriders in Space #2),negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9786
A Paris Apartment,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.999
More Than Music (Chasing the Dream #1),negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9984
The Kite Runner,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9939
(Un)Qualified: How God Uses Broken People to Do Big Things,positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9709
The Vacationers,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9978
Doctor Sleep (The Shining #2),negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.964
Follow You Home,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9994
A People's History of the United States,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9989
Reasons to Stay Alive,negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9963
City of Fallen Angels (The Mortal Instruments #4),positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9406
The Testament of Mary,positive,books_toscrape,2026-03-26T22:36:41.927378,positive,0.9952
Night Sky with Exit Wounds,negative,books_toscrape,2026-03-26T22:36:41.927378,negative,0.9885
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,positive,books_toscrape,2026-03-26T22:36:41.927378,negative,0.974
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",negative,books_toscrape,2026-03-26T22:36:41.927378,positive,0.7485
