text,label,source,collected_at
"Decent size, decent selection, decent staff.\n\nI guess that can wholly sum this place up, it's decent.  As with many other stores that are like this, the product rotates depending on what doesn't sale well at other stores.  Can always snag a deal here.  I was able to pick up a pretty sweet Puma jacket for $10, can't beat that, right?\n\nThat being said, there are those times that you may not find anything as well.  So really don't get your hopes up if you are looking for a specific item.",positive,yelp_reviews,2026-03-27T03:28:40.632390
"I have definitely experienced better! Let's see, so I first brought my car here to get the brakes done and they did a pretty good job, although, every time I'm in reverse, my brakes do make a squeaking noise. Not sure what's up with that. Anyway, needless to say, they did a pretty good job on my brakes. \n\nSince my last brake job, they have switched managers and the service has kinda gone down hill. I brought my car in to have the control arm bushings done. They quoted me a little under $500 to have this done, which wasn't really that much cheaper than the dealer. The dealer was about $50 more and would have given me a loaner vehicle to use. \n\nAnyway, I brought my car in to have them work on it. I dropped it off at 12:00pm, which was my scheduled appointment time. At 2:30pm I received a call from the manager stating that they ordered the wrong part and couldn't do the work on the car today. He told me I could either pick it up or just leave it there. I'm not sure why it took 2 1/2 hours to figure out that you ordered the wrong part...but I didn't have 2 days to spend on having my vehicle repaired. I mean, my whole day was pretty much wasted. \n\nI decided to pick my car up and call around to see if there was another repair shop to do the work I requested. I wound up finding Kelly's Automotive Repair in Fountain Hills to do the work for $357 including parts, labor, shop supplies, etc. Needless to say, because Just Brakes was incompetent in ordering the wrong part...and taking 2 1/2 hours to figure it out, they lost my business. Silver lining is that I saved over $100 by them doing that.\n\nI'll probably bring my car back for them to look at why my brakes squeak when I back up, since they were the last ones who did my brakes. Other than that, I don't really trust them anymore.",negative,yelp_reviews,2026-03-27T03:28:40.632390
Food is mediocre at best. I came in one day and ordered the lo mein and they use spaghetti pasta to pass as lo mein noodles.,negative,yelp_reviews,2026-03-27T03:28:40.632390
Best casino in the PHX area.,positive,yelp_reviews,2026-03-27T03:28:40.632390
"This place is a must try! Truly a fan of Skinny Fats!\n\nThe first time I went was around lunchtime, so I tried the Buff Chix- so yummy! Love the buffalo sauce! \n\nThe next time I went was for breakfast, so I decided to try 3 Happy Chicks. Again- so yummy! This is now my go to item all the time! Especially since they serve breakfast all day!\n\nI would love to try everything on the menu! But every time I go, I always seem to order the 3 Happy Chicks!  It's a simple breakfast- just made perfectly! \n\nThe location is a smaller place, which is always packed, but I think that this is just part of the fun and experience!\n \nThe staff is amazing... full of fun, and awesome-ness, and just always in a great mood!",positive,yelp_reviews,2026-03-27T03:28:40.632390
"This is just for the food. I wish I could have seen a band here, but was in town for business and just didn't have time. I flew in from KC late Monday night (for my time zone) and missed dinner with my coworkers, so I decided to head out on my own. I was staying at Mandalay Bay, so I didn't have far to go to House of Blues. It's right in that complex.\n\nI asked to sit at the bar. That's usually what I do if i am eating alone. You get seated right away, your server is never far away and the service is usually superb. I was not disappointed.\n\nI asked the bartender for a light, savory gin drink. I can't remember what he called it, but it hit the spot. Then I asked what was good on the menu. Initially he said, \""""Everything\"""". I said BS to that. Then he asked what I wanted - I said something light, it's late for me. So, he recommended the shrimp tacos.\n\nThe food came out pretty quickly. The shrimp tacos were really good. Lots of shrimp, nicely seasoned with a little kick. I asked for hot sauce, but all they had was Tabasco. That surprised me. Didn't this chain start in New Orleans? However, they had some sauce that really highlighted the flavor, so kudos.\n\nI was out in less than an hour. Nice dinner. I'd go back - next time for a concert, hopefully.",positive,yelp_reviews,2026-03-27T03:28:40.632390
Best fried rice I've tried. My girlfriend ordered the shrimp fried rice and added jalapenos and XO sauce and it was delicious! Its not on the menu but you can ask for it. The beef chow fun was good too but a little plain.,positive,yelp_reviews,2026-03-27T03:28:40.632390
"One of the low end Japanese express style of restaurants in the university area. The rice is horrible, the plates are over priced ($2-$3 dollars more than other places),  and the serve is mediocre at best. \n\nGiven the option, I'd steer clear of this place and go other \""""quality\"""" restaurants in the area. But i'd say try this place out if you enjoy drowning your plates in shrimp sauce; Its all going to taste the same anyways.",negative,yelp_reviews,2026-03-27T03:28:40.632390
"The only benefit to this place was that it was a good deal. That being said, it was dirty, DIRTY- like we had to get a new room because we couldn't stand the shower-scum shower, dust coming out of fans and stains on pillows that came from questionable sources. It is off the strip, so you have to take the bus to drop you off, which can lead to a 45 minute wait. The inside needs some serious updating to match the other hotels, looks as if it is stuck in the 80's. Tube TV's in the rooms, no fan in the bathrooms, keurig machines in rooms that don't work..This place needs some serious work. Will NOT be staying here again.",negative,yelp_reviews,2026-03-27T03:28:40.632390
"I have never written a review, but the food at Havana Cafe was so underwhelming (and not in the least bit good) that I feel compelled to share. \nI ordered the Pollo Ajillo which, in reality, was a pile of salt with a side of chicken and rice. I opted for Arroz con Gandules instead of white rice as it has been years since I have had this tasty Puerto Rican side. The whole thing was almost inedible... I came home and actually brushed my teeth immediately, it was so bad!  My husband had the Pollo Cubano, which was equally underwhelming and nothing that we could not make at home ourselves.  The restaurant gets an extra star for the wonderful Cafe Cubano and the extremely attentive wait staff .  I had high hopes for this place but the next time I have a craving for Cuban food, I will be heading to Sabor Cubano.",negative,yelp_reviews,2026-03-27T03:28:40.632390
