text,label,source,collected_at,predicted_label,confidence
"I was very disappointed with this movie for one reason...not enough zombies!It starts out great and Jessee Eisenberg is a very likeable actor (he ""made"" Adventureland). The movie starts out great with his character's rules for dealing with a zombie culture. The problem is, that once the four main characters get together, there's too much talking and not enough zombies.Woody Harelson was interesting and the Bill Murray cameo was great. ""Shaun of the Dead"" knew how to integrate horror and comedy but this movie quickly morphed into an uninteresting ""road movie"" I know this is not supposed to be highbrow entertainment but I was expecting much more from this. The trailer truly shows you everything you need for this one.",negative,amazon_reviews,2026-03-27T03:28:37.846206,positive,0.9637
"This is the worst textbook I've ever had to use!! The layout is awful, poor examples, everything about it is awful. You can't even find any definitions or terms. If any definitions are given they are at the end of the section and don't expect them to be bold like most textbooks. The actual text is very dense and is organized poorly. Professors, please don't make your students use this textbook. The won't enjoy the class or get anything out of it.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9998
The glasses are bigger than what i thought they would be. They are light & do not tip over easily. They are my fav water glass now. They are great & bonus there are made in the USA.,positive,amazon_reviews,2026-03-27T03:28:37.846206,positive,0.999
"Only redeeming quality: disturbing suicide scenes. That's about it, folks. Even if you forgive the ridiculous plot, this movie lacks direction in every way--poor casting, awkward acting, horrible dialogue, confusing photography direction, lame story telling (tepid rising action, NO CLIMAX, and ridiculous denouement). You'll spend most of the time watching wondering how a movie with pretty big-name actors in it could be so bad. Wahlberg at his worst. The funny thing is: John Liguisamo is an oasis of good acting, which contrasts and UNDERSCORES how the sub-par performance by the others. It really feels like your watching a D+ college video project with a whopper budget. I love apocalyptic movies, don't get me wrong, but this one is an utter failure. Beware of the plants; ridiculous.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9959
"I had never heard of the story until the movie based on the book ran on TCM in the early hours of the morning. I didn't watch it, but decided I had to have the book.Very film noir feel to the story. If I didn't know better, I'd think Cagney's White Heat character was based on Chase's ""Slim"". The same ""Top of the World, Ma"", coupled with amoral sadistic behavior.At first it was a little hard to change gears in the writer's POV, from the hoods to the detective, but once you figure it out, it is a very nice read.",positive,amazon_reviews,2026-03-27T03:28:37.846206,positive,0.9956
A fun and entertaining family movie that is sure to please all. Something that you must watch every Christmas season.,positive,amazon_reviews,2026-03-27T03:28:37.846206,positive,0.9999
"A must see, great story and great ending, watch this movie!!!! Perfect for a slow Sunday afternoon or a could day when you are snowed in.",positive,amazon_reviews,2026-03-27T03:28:37.846206,positive,0.9998
"The book is written well, BUT be careful when you purchase this book that you are getting the full-length updated version of the book with the BLUE cover, as pictured in the Amazon offering page. There is a very small old pamphlet edition with a red and black cover that has exactly the same title floating around out there. Be sure that you are getting the FULL-length version with the blue cover!",positive,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9777
my boy loves it and plays with it all the time. I would recommend to everyone. What a great product!,positive,amazon_reviews,2026-03-27T03:28:37.846206,positive,0.9998
"I tried the demo version a month ago, it was pretty cool. But the full version had all sorts of bugs in the installer. I don't understand why publishers pay so much money to license securom for their games, when it doesn't stop piracy at all! The DRM is frustrating for exactly ONE of the pirates, and for ALL the rest of the legitimate customers. The only people it doesn't bother are ALL of the pirates, and the few customers that don't realize how much simpler and faster the pirated version is.I feel like the people who add DRM to their games are saying ""The beatings will continue until morale improves."" The game itself was interesting, but hardly earthshattering. But I only had a few minutes to play it before bed, since it took me hours of work to install.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.997
"This toy is poorly constructed and designed unlike many other Radio Flyer classics. It smells like a chemical factory coming out of the box for one. Secondly, as many stated in other reviews, the turning radius is awful and makes it virtually un-maneuverable. All four wheels were wobbly and the whole thing had a cheap feel to it. Its a slick looking toy but thats about it.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9997
BUCKETHEAD IS THE WORLDS MOST DANGEROUS GUITARIST. EVERY ALBUM HAS 30-40 MINUTES OF GREAT MUSIC FEATURING HIS GUITAR & BASS ALONG WITH TALENTED SIDEMEN LIKE LES CLAYPOOL & BRAIN FROM PRIMUS. THE REST OF THE CD IS USUALLY SILLY POEMS AND GOOFY SOUND DROPS. INCONSISTANT BUT SOMETIMES BRILLIANT.,positive,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9438
"A great, riveting, not-so-ficitonal novel of the current immigration situation and America's place in the world today. It is almost as if the world took note from this book in the events that have been happening. The government could use this book as a potential threat primer. Detailed, non-stop action from an author that has put serious energy into his writing. If you like Tom Clancy, this is much better, and very relevant to our current times.",positive,amazon_reviews,2026-03-27T03:28:37.846206,positive,0.9994
"I Don't know what to say... Most of the DVDs to come out of ""Reality Films"", Seem to be no more then Pretty pictures, Or One Solid Filming of A Supposed Proffessional, And voice-overs...I don't think any less can be said about this except, is it possible to post reviews with 0 stars or less?Again, Just my Views... Won't be buying any more of this propoganda material... Boring as all hell... Better to watch my computer's screensaver. Atleast the image in that moves...",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.993
"The first generation of Sennheiser Wireless headphones was just about OK if you did ot leave your livingroom and faced the transmitter......The RS 40 is deffinitelly better, however if you leave the room where the transmitter is placed and dare to go to the garden or one floor up the noise becomes unbearable.Wait for the 2.4 gigahertz version - The RS40 is not worth it.The cheapest corded headphones sound better.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9992
"I purchased this set of Chinese Checkers for my octogenerian mom, who always loved this game. I was disappointed in the quality of the pegs. They are plastic and shallow and tend to slip out of their holes during play.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9993
"I expected more for a $50.00 radio from Sony. It's difficult to find radio stations, because there's no scanning or automatic tuning. (Two months ago I bought a no-name radio for two dollars and fifty cents that had automatic tuning - I just assumed Sony would offer this feature.) Reception is only OK. Also, the manual tuning is limited. You can only change the frequency by 1/10 (from 98.7 to 98.8). Often, the best reception would be in between (let's say, 98.75) and you can't get the best reception. Cool design. Like the mega bass. But a radio for jogging without automatic tuning/scanning is a bad investment. Don't buy it.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.999
"despite a current ""sell by"" date this product arrived stale and dry. i will only purchase it in the store from now on where i can inspect it better.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9997
"There's not a lot to say about McCartney's first foray into the 80s other than ""whoops."" Paul tried for a DIY ethic like his solo entry into the 70s, but no amount of synthesizers or discotheque appeal can mask the weakness of most of the material. If he was going for Bowie-esque reinvention/trend-setting, he failed far worse than Bowie did during the same decade.Actually starts out pretty well with the funky stomp of ""Coming Up,"" the amusing ""Temporary Secretary,"" and the fun but empty blues ballad, ""On the Way,"" but the rest is about as spotty as it gets. If Paul wanted to try a new wave flavor, why not go all the way? Instead, he forces boring and schmaltzy ballads like ""Waterfalls"" and ""One of These Days"" upon us, and we're forced to cringe and wonder just what the hell happened. Nobody expected consistency from Paul, but dreck? You've fallen a long way, Mac.Best cuts: ""On the Way,"" ""Coming Up,"" ""Nobody Knows,"" ""Temporary Secretary,"" ""Bogey Music""",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.999
"have used Stink Free on rugs and wood floors, product smells awful on its own and doesn't really deter my 4 Chihuahuas",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9996
"Well, Im going to be honest. I havent read this book because I received it with pages and pages of Corrections included with the book. Before I read this book, Im supposed to go through and make ALL of these changes to certain paragraphs. I paid full price for the book thru the Let's Do Lunch"" web site so that I could edit the whole book..... I dont think so. My mistake.I dont know if there is a way to find out if the book you are ordering is mistake free, but I would try to find out before you place your order or waste your time.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9974
"I must say that the animation work is great and you going to see a Batman like you see him in Comics, with great detail and excellent development, however the price to pay is that you don't get enough of this version of Batman. With the exception of the first episode, which is, also the most ""diferent"" of the conceptions of Batman, the all others are great job... so great that at the end of each chapter, they keep you waiting for more... which is a little frustrating, because there is no more.However, if you are a true fan of Batman, you should get this one, it's a great job.",positive,amazon_reviews,2026-03-27T03:28:37.846206,positive,0.9993
"I can't believe some here loved this laughably inept, sub-Scorsese dreck. Badly written, directed, and acted, its only value is to remind you how good the classics of the mob genre are in comparison. The final shootout, which someone here raves over, is especially hilarious. The gunmen who whack the wedge cut-wearing guido ""hero"" really are the gang that couldn't shoot straight. It's fun to check out the 70s hairdos (Frank Vincent's poodle cut is a hoot) but that's about the only redeeming feature about this C-grade flick.",negative,amazon_reviews,2026-03-27T03:28:37.846206,negative,0.9862
