text,label,source,collected_at,predicted_label,confidence
"I've seen most of Ryuhei Kitamura's work and I've come to the conclusion that he has a knack for action. Scenes are kinetic and fast often combining elements of martial arts, gun fights and samurai fights with camera work that effectively captures the on screen carnage. With ""Versus"" and ""Aragami"" Kitamura demonstrated that creativity and showed that he his more than capable of working with a low budget. So what happened in ""Alive"" ? To be more blunt, the answer would be - nothing. Nothing happened in ""Alive"" it was a two hours plus movie with little to no action and little to no characters and plot.<br /><br />Adapted from a comic book by Tsutomu Takahashi ""Alive"" is an examination of the life of one Tenshu Yashiro (played by Hideo Sasaki) a death row convict who survives his execution. He is then given a choice of either to repeat the execution or to subject himself in a bizarre series of experiments. He chooses the latter and soon after that is placed in a room along with a rapist and later with a girl infected with a strange parasite that in exchange for it's host's humanity grants supernatural powers. Naturaly at some point that parasite moves into Yashiro, the bad thing is that doesn't happen very soon. <br /><br />Similar to ""Aragami"", ""Alive"" sets it's first half in establishing the basic exposition. Characters are introduced, their motivations are set and their relations between each other are uncovered. The whole thing even takes place in just one set. The first major problem of that comparison is that while ""Aragami"" was just a 70 minute movie, ""Alive"" drags on for more than two hours thus making the first part over one hour long. That length could have been justified had the characters been made a bit more interesting but alas that is not the case. Dialogue is dry, monotonous, delivered without any sense of emotion or depth, characters themselves aren't much interesting. There were some small attempts at making ""Alive"" a bit more moral ambiguous but in the end it all came down to the classic : evil government people against, super-powered protagonist, whom yes you guessed it, saves the girl in the end. Like I previously said",negative,imdb_huggingface,2026-03-27T03:28:34.524709,negative,0.6526
"This amusing Bugs Bunny cartoon sees the return of the still unnamed Marvin the Martian and his sidekick K-9 the green dog.<br /><br />This time instead of trying to destroy the Earth Marvin is on a mission to land, capture an Earth creature and take it back to Mars. Of course the creature he picks is Bugs Bunny. At first Bugs thinks Marvin and K-9 are trick or treating but realises this can't be right when Marvin drastically enlarges Bug's rabbit hole with a ray-gun. Bugs tries to trick his way out of the situation in a couple of ways, including persuading Marvin that K-9 is planning a mutiny. Eventually he is captured using an Acme strait-jacket ejecting bazooka. Amazingly, for an Acme product, it works as advertised and Bug's is forced to use his wits to get K-9 to release him, the tables are soon turned and the two disgruntled Martians are trussed up and Bugs is trying to fly their saucer back to Earth.<br /><br />I really enjoyed this although the ending is a little weak compared to the rest of the story. Marvin's voice has changed slightly here and he gets visible emotional when he is angry but this didn't make me like him or the cartoon any less.",positive,imdb_huggingface,2026-03-27T03:28:34.524709,positive,0.6628
"Here's another movie that should be loaded into a satellite, fired into space and pointed in the direction of the galaxy Andromeda to show distant possible civilizations the best of humanity. This movie is so endearingly stupid and revealingly honest in being little more than a rip-off of the already bad movie classic KING KONG from 1976 that it not only manages to upstage that film in terms of sheer belly laugh idiotic goofiness, but successfully predicted much of Peter Jackson's miserable 2005 computer cartoon bearing the same name, as far as a ""romance"" between the giant (here a Yeti) and a gorgeous human female (Antonellina Interlenghi of Umberto Lenzi's CITY OF THE LIVING DEAD, who is very easy on the eyes).<br /><br />The film was made for kids so aside from some innuendo over fish bones and a bizarre nipple tweak to say goodbye you can forget about sex -- the Yeti even has a sort of giant jock strap to cover up his monstrous package, the result being even more amusing than anatomical correctness. But as a trade-off you DO get a wacky old scientist, two inquisitive kids, Tony Kendall in a rare turn as a duplicitous bastard of a villain, a helpful intelligent collie dog who gets to have her own adventure (Dog Adventure movies were big in Europe for a while) and of course emerges as the hero at the end for saving the Yeti, who turns out to be the good guy, glorious stuff like front end loaders decorated to look like giant ape hands, a monster who's size literally changes scale from shot to shot, some inappropriately horrible deaths that will make the carnage in GODZILLA VS THE SMOG MONSTER look tame by comparison, crowd reaction shots a-plenty made up of either Spanish, Italian or Canadian extras depending upon scene (you can sort of tell where they were shooting from how the extras are dressed), and some of the most enthusiastically staged but inept special effects work ever in a giant monkey movie.<br /><br />It's here that the film won me over: It's enthusiasm just for being made. Frank Kramer is actually the same Gianfranco Parolini who brought the world SARTANA in 1968 and GOD'S GUN the year before",positive,imdb_huggingface,2026-03-27T03:28:34.524709,positive,0.6028
"""Once upon a time there was a charming land called France.... People lived happily then. The women were easy and the men indulged in their favorite pastime: war, the only recreation of kings which the people could enjoy."" The war in question was the Seven Year's War, and when it was noticed that there were more corpses of soldiers than soldiers, recruiters were sent out to replenish the ranks. <br /><br />And so it was that Fanfan (Gerard Philipe), caught tumbling a farmer's daughter in a pile of hay, escapes marriage by enlisting in the Regiment d'Aquitane...but only by first believing his future as foretold by a gypsy, that he will win fame and fortune in His Majesty's uniform and will marry the King's daughter. Alas, Adeline (Gina Lollobrigida) is not a gypsy but the daughter of the regiment's recruiting sergeant. <br /><br />When Fanfan charges away from the recruits, saber in hand to rescue a carriage under attack, who should be inside but the Marquise du Pompadour and...the King's daughter. He now is convinced he will marry high, despite the extremely low-cut blouses Adeline wears. She, in turn, will soon discover her own love for Fanfan. We're in the middle of an irreverent movie of Fanfan's destiny, the ribald adventures of a sword-fighting scamp and rogue. There are escapes from hangings, swordfights on tile roofs, blundering battles, romantic escapes and more joyous derring do than you can imagine. What Fanfan lacks in polish he makes up for in irreverence and enthusiasm. He's a quick stepping swordsman and a fast-talking lover, but with such naïve belief in his destiny and such an optimistic nature, how can we not like him? <br /><br />Gerard Philipe was an iconic stage and screen actor (who Francois Truffaut disparaged constantly in the pages of Cahiers du Cinema). He did most of his own stunts. He was handsome, athletic, graceful and charismatic. Men admired him and women dreamed about him. He was dead at 36, seven years after Fanfan, of liver cancer. All of France mourned. Gina Lollobrigida as Adeline holds her own. It's not those low-cut blouses that do her acting. She's sharp, passionate, not quite innocent and no one's fool. <br /><br />Fanfan la Tulipe just sings along",positive,imdb_huggingface,2026-03-27T03:28:34.524709,positive,0.511
"It's a good thing I didn't watch this while i was pregnant.I definitely would have cried my eyes out and/or vomit. It was Kind of gruesome mainly disturbing. I personally thought the baby was adorable in its own twisted little way.However as a mom I cringed when Beth stabbed herself in the stomach and when Virgina aborted the child during her 3rd trimester with rusty utensils no less.Also,as an animal lover i almost cried when she scratched the cat to a bloody pulp.However,As creepy and sinister as the baby was I was rooting for it to live.And as twisted as the movie was I am extremely intrigued to see the sequel...... ......... ....... ......... ......... ....... ...... .....",negative,imdb_huggingface,2026-03-27T03:28:34.524709,negative,0.5336
"Decent size, decent selection, decent staff.\n\nI guess that can wholly sum this place up, it's decent.  As with many other stores that are like this, the product rotates depending on what doesn't sale well at other stores.  Can always snag a deal here.  I was able to pick up a pretty sweet Puma jacket for $10, can't beat that, right?\n\nThat being said, there are those times that you may not find anything as well.  So really don't get your hopes up if you are looking for a specific item.",positive,yelp_reviews,2026-03-27T03:28:40.632390,negative,0.6325
"Another small plates casual restaurant at Cosmopolitan by Jose Andres. We were so hungry, we only saw this restaurant open for lunch a bit earlier. It's Chinese and Mexican small plates. \n\nA solid 2.5 star, one goes to the service, one goes to the Singtao beer (Chinese beer) they had there and authentic Chinese hot sauce, half star goes to the decor. \n\nTotal lunch bill for 2 , 1 beer: $70, ( really a lot for the tiny portions)\n\nA brunch menu and regular menu, we ordered something from both menus.\n\nChinese noodle soup with egg, pork, veggies and mushrooms: bigger portion, it was meant for sharing, tasted sooo bad, we didn't know what kind of food was that.... Definitely not Chinese! \n\nTraditional Sui Mai: 6 tiny pieces with some gold stuffs on top of each one. They looked fancy but tasted disgusting.....I think they dipped all of those in soy sauce and dried them up....Extremely salty....\n\nChicken Ji song: 4 tiny chicken lettuce wraps with fried potatoes on the top, they were OK \n\nMexican grilled chicken taco: I don't think I have ever tasted a taco that bad, most disgusting flavored taco I have ever had! They put some sort of salty Chinese sauce or paste with green onions on top, those things just don't mix! Think chef confused it with a traditional Chinese wrap dish. \n\nIf we weren't super hungry, I don't think we could have had even swallowed the food, they were soooo bad! Honestly it's a shame to a celebrity chef, Jose should've just sticked to Spanish tapas, forget about Chinese and Mexican food! I think this 2 kinds of food are the more original the better, don't play with them.....\n\nWorst food we'v ever had, but the service was great! Our waitress was super attentive and friendly. The decor is so cute, very trendy, the pictures on the wall change every few minutes, it was fun to look at them. \n\nI am pretty sure we weren't the only ones who hate the food. Saw some ppl sit down n looked at the menu for 5 minutes and left! Smart.... Just saying..... Will never go back !!!",negative,yelp_reviews,2026-03-27T03:28:40.632390,negative,0.5373
"\""""If you're a geek and like wings you should check this place out\"""" was how my friend suggested Wings Edinburgh.\n\nI actually thought she was talking about two different places on the Royal Mile, but one day we were up there looking for a place for lunch and I saw lots of positive reviews on Yelp, so we started looking.\n\nIt is kind of hidden down Old Fishmarket Close, but worth the hunt.\n\nThe minute I walked in the door and saw the Star Wars Walkers humping I understood my friend's comment. Before we even sat down the Mrs was begging for a picture with the Weeping Angel in the corner.\n\nThe wings we tasty. I had the Imperial Tiger which was a good hot wing.\n\nOnly thing that would have made it better would have been if it had free wifi, which seems kind of a glaring omission on this shrine to geekdom.",positive,yelp_reviews,2026-03-27T03:28:40.632390,positive,0.5483
"These gourmet popsicles are a definite foodie destination!! Wow! \n\nNow, these aren't your average fruit bars, they are hand made, with fresh seasonal ingredients with no artificial anything! We stopped in the other evening after a heavy Ethiopian meal, and these paletas were just the ticket! The girl behind the counter was very helpful in explaining how they are made and what makes them so speciall. Betty (the owner) chooses her ingredients pretty much based on seasonal availability. I ordered the Pi\u00f1a con chile (pinapple with chile) and it was INSANE! She said that Betty acutally roasts and grinds her own chilies to make her own chile powder in the popsicles (I can't wait to try mango con chile in the summer!) \n\nThere are dozens of flavors that constantly change due to availabilty of ingredients. I wish I could try some of the dairy paletas, but alas, I am condemned to a dairy-free world. But, there were a few non-dairy options that were good enough so as not to make me feel deprived. Hey, they even have popsicles for dogs! (peanutbutter flavor, and chicken stock flavor)\n\nCan't wait to stop in again, this is a great addition to Mill Avenue!",positive,yelp_reviews,2026-03-27T03:28:40.632390,negative,0.5312
"There are circles where my opinion doesn't count and the USPS is clearly one of those circles.\n\nI imagine that someone like the postmaster of a USPS gets to make maybe 2 or 3 decisions a year and cannot fathom the qualities that makes one better than another except when facing one of these infrequent times to actually have to make a decision, they not only blow it but blow it with maximum impact on the maximum number of people. To the Scottsdale postmaster, I salute you with a job well done.\n\nSeemed innocent enough...Aging postal facility in area where the ever growing Scottsdale Memorial Hospital wants to expand makes deal to sell property and relocate the post office. Finds newly vacated Scottsdale Road location of failed furniture store which offers more space - I'm good.\n\nNow for the fun part. I've had a PO Box there since 1982. EVERYONE knows my PO Box Address.\n\nHere's where they blew it...most of the PO Boxes in the 'old' Post Office were combination mailboxes...no key needed. They don't do that anymore and want to play keymaster. So the big decision is that everyone who had a combination lock mailbox would get a new PO Box number - you can't keep the old number.\n\nMy mail runs 40% mine, 40% whoever had the PO Box # before they arbitrarily assigned it to me and 20% who knows...no relation to either PO Box number, new or old but close enough for government work I guess.\n\nNow I recognize that postal employees do the best they can with what they're dealt and I actually have a friend whose husband works at that post office and agreed that this has been an unmitigated disaster.\n\nI think I should nominate this for a 'Great American Heroes' radio commercial because when they blow it...they do it with style.",negative,yelp_reviews,2026-03-27T03:28:40.632390,negative,0.6926
